,,diff,ratio,Date
2008,0,-0.09999999999999964,1.6595394736842106,"('2008', 0)"
2008,1,0.39999999999999947,1.1006944444444444,"('2008', 1)"
2008,2,0.0,1.6566265060240963,"('2008', 2)"
2008,3,0.2999999999999998,1.4990328820116054,"('2008', 3)"
2008,4,0.40000000000000036,1.6644951140065147,"('2008', 4)"
2008,5,0.09999999999999964,2.210727969348659,"('2008', 5)"
2008,6,0.09999999999999964,1.8477508650519032,"('2008', 6)"
2008,7,-0.20000000000000018,1.6940063091482649,"('2008', 7)"
2008,8,-0.20000000000000018,1.3966666666666667,"('2008', 8)"
2008,9,0.10000000000000053,1.8354037267080745,"('2008', 9)"
2008,10,0.20000000000000018,1.5913978494623655,"('2008', 10)"
2008,11,-0.09999999999999964,1.7967741935483872,"('2008', 11)"
2009,0,0.1999999999999993,2.3880208333333335,"('2009', 0)"
2009,1,0.20000000000000107,2.1880650994575044,"('2009', 1)"
2009,2,0.1999999999999993,2.112167300380228,"('2009', 2)"
2009,3,0.29999999999999893,2.9239766081871346,"('2009', 3)"
2009,4,0.0,2.696629213483146,"('2009', 4)"
2009,5,-0.1999999999999993,3.1094619666048238,"('2009', 5)"
2009,6,0.20000000000000018,1.8648068669527897,"('2009', 6)"
2009,7,0.0,3.8733974358974357,"('2009', 7)"
2009,8,0.09999999999999964,2.1705607476635516,"('2009', 8)"
2009,9,0.09999999999999964,1.813780260707635,"('2009', 9)"
2009,10,-0.1999999999999993,4.079545454545454,"('2009', 10)"
2009,11,-0.09999999999999964,3.8174807197943443,"('2009', 11)"
2010,0,0.20000000000000107,3.644194756554307,"('2010', 0)"
2010,1,-0.10000000000000142,5.71244635193133,"('2010', 1)"
2010,2,0.0,4.759358288770054,"('2010', 2)"
2010,3,0.20000000000000107,2.1219512195121952,"('2010', 3)"
2010,4,0.0,4.561307901907357,"('2010', 4)"
2010,5,-0.10000000000000142,4.407407407407407,"('2010', 5)"
2010,6,-0.09999999999999964,4.126654064272212,"('2010', 6)"
2010,7,-0.09999999999999964,2.381782945736434,"('2010', 7)"
2010,8,-0.40000000000000036,3.6106666666666665,"('2010', 8)"
2010,9,0.0,3.6845794392523366,"('2010', 9)"
2010,10,0.0,3.094032549728752,"('2010', 10)"
2010,11,-0.3000000000000007,2.0176125244618395,"('2010', 11)"
2011,0,-0.09999999999999964,5.098039215686274,"('2011', 0)"
2011,1,-0.3000000000000007,3.8674698795180724,"('2011', 1)"
2011,2,0.0,6.790322580645161,"('2011', 2)"
2011,3,-0.09999999999999964,3.5765625,"('2011', 3)"
2011,4,0.1999999999999993,4.153241650294696,"('2011', 4)"
2011,5,0.0,4.158163265306122,"('2011', 5)"
2011,6,0.1999999999999993,3.624742268041237,"('2011', 6)"
2011,7,-0.1999999999999993,2.8547368421052632,"('2011', 7)"
2011,8,-0.5,6.52317880794702,"('2011', 8)"
2011,9,-0.09999999999999964,2.911447084233261,"('2011', 9)"
2012,0,0.0,6.306930693069307,"('2012', 0)"
2012,1,-0.39999999999999947,4.4404432132963985,"('2012', 1)"
2012,2,-0.20000000000000107,5.602941176470588,"('2012', 2)"
2012,3,-0.09999999999999964,1.961630695443645,"('2012', 3)"
2012,4,0.09999999999999964,5.274111675126903,"('2012', 4)"
2012,5,0.10000000000000142,5.105121293800539,"('2012', 5)"
2012,6,-0.10000000000000053,4.786941580756014,"('2012', 6)"
2012,7,0.0,4.907473309608541,"('2012', 7)"
2012,8,0.0,5.9890710382513666,"('2012', 8)"
2012,9,-0.10000000000000142,6.396449704142012,"('2012', 9)"
2012,10,-0.1999999999999993,4.974025974025974,"('2012', 10)"
2012,11,-0.1999999999999993,7.0046728971962615,"('2012', 11)"
2013,0,-0.09999999999999964,4.523573200992556,"('2013', 0)"
2013,1,-0.20000000000000018,6.608108108108108,"('2013', 1)"
2013,2,0.09999999999999964,3.9658273381294964,"('2013', 2)"
2013,3,0.0,2.5943060498220643,"('2013', 3)"
2013,4,-0.20000000000000018,3.804474708171206,"('2013', 4)"
2013,5,-0.10000000000000053,5.246031746031746,"('2013', 5)"
2013,6,-0.09999999999999964,6.373397435897436,"('2013', 6)"
2013,7,-0.10000000000000053,3.8715341959334566,"('2013', 7)"
2013,8,0.09999999999999964,2.412274849899933,"('2013', 8)"
2013,9,0.10000000000000053,2.5134370579915135,"('2013', 9)"
2013,10,-0.09999999999999964,3.379595588235294,"('2013', 10)"
2013,11,0.09999999999999964,3.0174165457184325,"('2013', 11)"
2014,0,-0.2999999999999998,7.521390374331551,"('2014', 0)"
2014,1,0.10000000000000053,3.5050167224080266,"('2014', 1)"
2014,2,-0.10000000000000053,4.025149700598803,"('2014', 2)"
2014,3,-0.10000000000000053,3.612050739957717,"('2014', 3)"
2014,4,0.0,4.393643031784841,"('2014', 4)"
2014,5,-0.2999999999999998,4.903460837887067,"('2014', 5)"
2014,6,0.0,5.337526205450734,"('2014', 6)"
2014,7,0.10000000000000053,4.168934240362812,"('2014', 7)"
2014,8,-0.1999999999999993,7.532786885245901,"('2014', 8)"
2014,9,-0.10000000000000053,3.3689839572192515,"('2014', 9)"
2014,10,0.10000000000000053,6.302083333333333,"('2014', 10)"
2014,11,-0.20000000000000018,5.870206489675517,"('2014', 11)"
2015,0,-0.09999999999999964,3.2519762845849804,"('2015', 0)"
2015,1,-0.09999999999999964,4.648920863309352,"('2015', 1)"
2015,2,0.09999999999999964,4.535251798561151,"('2015', 2)"
2015,3,-0.10000000000000053,4.69578783151326,"('2015', 3)"
2015,4,0.0,2.6806324110671937,"('2015', 4)"
2015,5,0.0,3.0126696832579185,"('2015', 5)"
2015,6,0.0,3.2287917737789202,"('2015', 6)"
2015,7,0.10000000000000053,3.719945355191257,"('2015', 7)"
2015,8,0.0,6.849872773536895,"('2015', 8)"
2015,9,0.0,2.8916201117318434,"('2015', 9)"
2015,10,-0.10000000000000053,4.706270627062707,"('2015', 10)"
2015,11,-0.10000000000000053,2.1206896551724137,"('2015', 11)"
2016,0,0.0,5.210272873194222,"('2016', 0)"
2016,1,0.0,3.1550632911392404,"('2016', 1)"
2016,2,0.0,5.635782747603834,"('2016', 2)"
2016,3,0.10000000000000053,3.391425908667288,"('2016', 3)"
2016,4,-0.09999999999999964,4.795534665099883,"('2016', 4)"
2016,5,-0.3000000000000007,5.671232876712328,"('2016', 5)"
2016,6,-0.20000000000000018,7.861344537815126,"('2016', 6)"
2016,7,0.10000000000000053,5.226666666666667,"('2016', 7)"
2016,8,0.0,5.55899419729207,"('2016', 8)"
2016,9,0.09999999999999964,5.146645865834634,"('2016', 9)"
2016,10,0.09999999999999964,3.8785796105383734,"('2016', 10)"
2016,11,0.10000000000000053,5.506269592476489,"('2016', 11)"
2017,0,0.0,3.229059829059829,"('2017', 0)"
2017,1,-0.1999999999999993,6.851015801354402,"('2017', 1)"
2017,2,-0.10000000000000053,5.0759962928637625,"('2017', 2)"
2017,3,-0.10000000000000053,9.182232346241458,"('2017', 3)"
2017,4,0.0,4.829638273045507,"('2017', 4)"
2017,5,0.10000000000000053,4.648760330578512,"('2017', 5)"
2017,6,-0.20000000000000018,4.9392,"('2017', 6)"
2017,7,0.0,5.2,"('2017', 7)"
2017,8,0.0,5.522321428571429,"('2017', 8)"
2017,9,-0.20000000000000018,4.914602903501281,"('2017', 9)"
2017,10,0.10000000000000053,6.9402061855670105,"('2017', 10)"
2017,11,0.09999999999999964,6.014792899408284,"('2017', 11)"
